idx,path_length,tax,time,time_limit_reached,iteration
00,14,-10.0,0.0,0,42
01,14,0.0,0.015618085861206055,0,38
02,15,-8.0,0.0,0,43
03,29,-2.0,0.031241416931152344,0,255
04,34,-6.0,0.10934925079345703,0,542
05,42,-6.0,0.015622615814208984,0,156
06,39,0.0,0.015620231628417969,0,134
07,45,0.0,0.015620946884155273,0,107
08,52,0.0,0.015620708465576172,0,177
09,50,-2.0,0.04686474800109863,0,272
10,25,-6.0,0.0,0,42
11,23,-10.0,0.0,0,48
12,26,-4.0,0.0,0,43
13,24,-8.0,0.06252074241638184,0,49
14,27,-2.0,0.0,0,44
15,41,-24.0,0.0468292236328125,0,290
16,22,-2.0,0.0,0,36
17,26,-4.0,0.0,0,51
18,25,-8.0,0.015621423721313477,0,43
19,55,0.0,0.04686260223388672,0,352
20,20,-24.0,0.0,0,34
21,24,-26.0,0.0,0,49
22,35,0.0,0.01562047004699707,0,133
23,43,0.0,0.015622138977050781,0,77
24,44,0.0,0.06248879432678223,0,167
25,48,0.0,0.3280465602874756,0,1532
26,25,-34.0,0.0,0,43
27,19,-4.0,0.015623092651367188,0,53
28,70,-6.0,0.0468602180480957,0,328
29,70,0.0,0.12497401237487793,0,390
30,21,-56.0,0.0,0,35
31,25,-58.0,0.015620946884155273,0,50
32,28,-4.0,0.0,0,56
33,30,-24.0,0.015621423721313477,0,109
34,29,-2.0,0.0,0,46
35,65,0.0,9.910428762435913,0,56241
36,56,-16.0,3.6553940773010254,0,15889
37,30,0.0,0.01561880111694336,0,44
38,65,-4.0,0.015620708465576172,0,163
39,35,-48.0,0.015619754791259766,0,93
40,28,-6.0,0.0,0,59
41,3,0,60.00071573257446,1,308387
42,29,-4.0,0.011966943740844727,0,58
43,21,-120.0,0.00598597526550293,0,22
44,30,-2.0,0.012964248657226562,0,52
45,66,-2.0,0.08876228332519531,0,268
46,69,0.0,0.5970108509063721,0,1557
47,31,-50.0,0.015620946884155273,0,121
48,78,0.0,0.03124213218688965,0,137
49,34,-50.0,0.01562356948852539,0,97
